Client ID,Device Category,Medium,q_medium,q_devise
GA1.2.1002865351.1579521706,desktop=>desktop=>desktop=>desktop=>desktop=>,referral=>referral=>referral=>(none)=>(none)=>,3,5
GA1.2.1002894427.1579243714,mobile=>,cpm=>,1,1
GA1.2.1002935725.1577595359,mobile=>mobile=>mobile=>mobile=>mobile=>,sem_cpc=>sem_cpc=>sem_cpc=>sem_cpc=>sem_cpc=>,5,5
GA1.2.1002971858.1579415335,mobile=>,cpm=>,1,1
GA1.2.1002991765.1580632258,desktop=>desktop=>desktop=>desktop=>,cpc=>cpc=>referral=>referral=>,4,4
GA1.2.1003094913.1580642104,desktop=>desktop=>,referral=>referral=>,2,2
GA1.2.100313392.1579369944,desktop=>,referral=>,1,1
GA1.2.1003134507.1579393164,mobile=>,organic=>,1,1
GA1.2.1003159880.1580076821,mobile=>,organic=>,1,1
GA1.2.1003160409.1580725569,mobile=>mobile=>,referral=>referral=>,2,2
GA1.2.100320851.1579947872,desktop=>,cpc=>,1,1
GA1.2.1003285129.1578503956,mobile=>,(none)=>,0,1
GA1.2.1003313324.1580553733,mobile=>,cpc=>,1,1
GA1.2.1003323446.1580213345,desktop=>desktop=>,organic=>referral=>,2,2
GA1.2.1003415803.1567348958,mobile=>mobile=>,organic=>cpc=>,2,2
GA1.2.1003560863.1578335865,mobile=>,referral=>,1,1
GA1.2.1003572456.1581831786,mobile=>,organic=>,1,1
GA1.2.1003627703.1578323394,mobile=>,sem_cpc=>,1,1
GA1.2.1003662667.1581371662,tablet=>tablet=>,(none)=>referral=>,1,2
GA1.2.1003695187.1580035935,mobile=>,cpm=>,1,1
GA1.2.100374612.1581194625,desktop=>,referral=>,1,1
GA1.2.1003754238.1580671497,mobile=>mobile=>,referral=>referral=>,2,2
GA1.2.100375538.1581239304,desktop=>,organic=>,1,1
GA1.2.1003775750.1579252594,mobile=>mobile=>mobile=>mobile=>,(none)=>referral=>referral=>referral=>,3,4
GA1.2.1003778655.1581254714,mobile=>,(none)=>,0,1
GA1.2.100383562.1579162397,mobile=>,cpm=>,1,1
GA1.2.1003868424.1580576095,mobile=>,(none)=>,0,1
GA1.2.1003934714.1581085305,mobile=>,cpc=>,1,1
GA1.2.100393786.1581682762,mobile=>,organic=>,1,1
GA1.2.1003952348.1580578186,desktop=>desktop=>,(none)=>(none)=>,0,2
GA1.2.1003967528.1580302473,mobile=>,cpm=>,1,1
GA1.2.1004008667.1580216892,mobile=>,organic=>,1,1
GA1.2.1004046967.1581506932,mobile=>,organic=>,1,1
GA1.2.1004121389.1578844876,mobile=>,referral=>,1,1
GA1.2.1004121826.1578426976,mobile=>,referral=>,1,1
GA1.2.1004128081.1580060027,mobile=>,(none)=>,0,1
GA1.2.1004147837.1580250114,mobile=>,referral=>,1,1
GA1.2.1004184883.1578028288,mobile=>,sem_cpc=>,1,1
GA1.2.1004286287.1578047369,desktop=>desktop=>,organic=>organic=>,2,2
GA1.2.1004358471.1579207671,desktop=>,(none)=>,0,1
GA1.2.1004373643.1580373813,desktop=>,cpc=>,1,1
GA1.2.100437576.1579258568,tablet=>,organic=>,1,1
GA1.2.1004512542.1579853808,mobile=>,cpc=>,1,1
GA1.2.1004553754.1581923602,mobile=>,cpc=>,1,1
GA1.2.1004561310.1579293928,tablet=>,(none)=>,0,1
GA1.2.1004712427.1579786917,mobile=>,organic=>,1,1
GA1.2.1004743523.1580207006,desktop=>,(none)=>,0,1
GA1.2.100478289.1577332367,mobile=>,sem_cpc=>,1,1
GA1.2.1004807349.1580059733,mobile=>,organic=>,1,1
GA1.2.1004839431.1579799778,desktop=>,referral=>,1,1
GA1.2.1004855872.1578465176,mobile=>,cpc=>,1,1
GA1.2.1004865688.1580875631,mobile=>mobile=>mobile=>,cpc=>organic=>cpc=>,3,3
GA1.2.1004938868.1579244661,desktop=>desktop=>,organic=>organic=>,2,2
GA1.2.1004994577.1578900465,mobile=>,cpc=>,1,1
GA1.2.10050850.1580153260,mobile=>mobile=>,organic=>referral=>,2,2
GA1.2.1005113605.1577986777,mobile=>mobile=>,(none)=>(none)=>,0,2
GA1.2.1005148823.1580806207,mobile=>,organic=>,1,1
GA1.2.1005213714.1578395461,desktop=>,referral=>,1,1
GA1.2.1005217329.1579206759,mobile=>,cpm=>,1,1
GA1.2.1005291047.1578686359,desktop=>desktop=>,referral=>referral=>,2,2
GA1.2.1005451904.1525481787,mobile=>,referral=>,1,1
GA1.2.1005494202.1580391520,desktop=>,cpc=>,1,1
GA1.2.1005525554.1568570875,mobile=>mobile=>,organic=>organic=>,2,2
GA1.2.1005533399.1581075261,desktop=>,referral=>,1,1
GA1.2.100556369.1579348267,desktop=>,(none)=>,0,1
GA1.2.1005566640.1578583471,mobile=>,referral=>,1,1
GA1.2.1005592967.1578599964,desktop=>,referral=>,1,1
GA1.2.1005646357.1579972372,mobile=>,referral=>,1,1
GA1.2.1005760241.1581148378,desktop=>,referral=>,1,1
GA1.2.100579020.1579002751,mobile=>mobile=>,referral=>organic=>,2,2
GA1.2.1005878787.1578233775,mobile=>,organic=>,1,1
GA1.2.1005879678.1573386635,desktop=>,referral=>,1,1
GA1.2.1005970580.1581179717,desktop=>desktop=>,organic=>organic=>,2,2
GA1.2.1006021773.1581494947,mobile=>,(none)=>,0,1
GA1.2.1006038234.1580980312,mobile=>mobile=>,organic=>organic=>,2,2
GA1.2.1006057792.1580123368,mobile=>,cpc=>,1,1
GA1.2.1006121377.1578567735,mobile=>,referral=>,1,1
GA1.2.1006141289.1578899080,mobile=>,cpc=>,1,1
GA1.2.1006203710.1580841865,mobile=>,referral=>,1,1
GA1.2.1006308000.1580188742,desktop=>,(none)=>,0,1
GA1.2.1006314243.1580329518,mobile=>,organic=>,1,1
GA1.2.1006348324.1576780556,mobile=>mobile=>mobile=>,(none)=>(none)=>(none)=>,0,3
GA1.2.100649862.1581588182,desktop=>desktop=>,organic=>referral=>,2,2
GA1.2.1006527056.1577901545,mobile=>,(none)=>,0,1
GA1.2.1006593676.1566893855,desktop=>,organic=>,1,1
GA1.2.1006601886.1581031182,mobile=>,(none)=>,0,1
GA1.2.1006730167.1579371652,mobile=>mobile=>,(none)=>(none)=>,0,2
GA1.2.1006733539.1580540316,mobile=>,organic=>,1,1
GA1.2.1006747149.1577966006,desktop=>desktop=>desktop=>desktop=>desktop=>,(none)=>referral=>referral=>(none)=>referral=>,3,5
GA1.2.100679732.1577678111,tablet=>,organic=>,1,1
GA1.2.1006815222.1568904782,mobile=>mobile=>,(none)=>(none)=>,0,2
GA1.2.1006851933.1578503471,mobile=>,organic=>,1,1
GA1.2.1006993559.1579678066,mobile=>mobile=>,organic=>organic=>,2,2
GA1.2.1007032452.1571917636,mobile=>,(none)=>,0,1
GA1.2.100708423.1581916471,mobile=>,cpm=>,1,1
GA1.2.1007146808.1579276187,mobile=>,organic=>,1,1
GA1.2.1007177487.1578479105,mobile=>,organic=>,1,1
GA1.2.1007261385.1580914901,mobile=>mobile=>,organic=>organic=>,2,2
GA1.2.1007317475.1581099476,mobile=>,organic=>,1,1
GA1.2.1007339321.1579812195,mobile=>,referral=>,1,1
GA1.2.1007441204.1579692013,desktop=>,referral=>,1,1
GA1.2.100745307.1580908819,desktop=>,(none)=>,0,1
GA1.2.100749153.1581432509,desktop=>,organic=>,1,1
GA1.2.1007566711.1578389029,mobile=>,referral=>,1,1
GA1.2.1007584841.1580581342,mobile=>,referral=>,1,1
GA1.2.1007688410.1579950169,mobile=>,organic=>,1,1
GA1.2.1007715586.1580372772,desktop=>,referral=>,1,1
GA1.2.1007755402.1579799843,mobile=>mobile=>mobile=>mobile=>mobile=>mobile=>,referral=>referral=>referral=>referral=>referral=>referral=>,6,6
GA1.2.1007757566.1573920476,desktop=>,referral=>,1,1
GA1.2.100776305.1579981341,tablet=>tablet=>tablet=>tablet=>tablet=>,referral=>organic=>organic=>referral=>organic=>,5,5
GA1.2.1007786966.1579491499,mobile=>,referral=>,1,1
GA1.2.100782715.1581667856,desktop=>,cpc=>,1,1
GA1.2.1007834498.1580649572,desktop=>,(none)=>,0,1
GA1.2.1007835782.1580296722,mobile=>mobile=>mobile=>mobile=>mobile=>mobile=>mobile=>,referral=>referral=>referral=>referral=>referral=>referral=>referral=>,7,7
GA1.2.1007892766.1581947428,desktop=>,organic=>,1,1
GA1.2.1007894599.1579597132,mobile=>,cpc=>,1,1
GA1.2.1007903119.1578244592,desktop=>desktop=>desktop=>desktop=>desktop=>,(none)=>(none)=>(none)=>referral=>referral=>,2,5
GA1.2.1007918843.1577789339,mobile=>,referral=>,1,1
GA1.2.100792073.1578641215,mobile=>,cpc=>,1,1
GA1.2.1007978270.1578473429,mobile=>mobile=>,organic=>referral=>,2,2
GA1.2.1007984753.1579980372,tablet=>,organic=>,1,1
GA1.2.1008047545.1579638885,mobile=>,(none)=>,0,1
GA1.2.1008090210.1581399387,mobile=>,cpc=>,1,1
GA1.2.1008521406.1580019979,mobile=>mobile=>,organic=>referral=>,2,2
GA1.2.1008522994.1581846985,mobile=>,organic=>,1,1
GA1.2.1008530490.1581839500,tablet=>tablet=>,organic=>referral=>,2,2
GA1.2.1008664515.1580665610,mobile=>mobile=>mobile=>mobile=>mobile=>,referral=>organic=>referral=>referral=>referral=>,5,5
GA1.2.1008714986.1581677167,mobile=>,referral=>,1,1
GA1.2.1008739071.1579350653,mobile=>,cpm=>,1,1
GA1.2.1008777193.1581671253,desktop=>,referral=>,1,1
GA1.2.1008778864.1576965003,mobile=>,organic=>,1,1
GA1.2.1008840187.1578388957,mobile=>mobile=>,referral=>organic=>,2,2
GA1.2.1008848504.1580393034,desktop=>,referral=>,1,1
GA1.2.1008875414.1580165504,mobile=>,organic=>,1,1
GA1.2.1008891535.1577567129,tablet=>tablet=>,sem_cpc=>sem_cpc=>,2,2
GA1.2.1008929838.1581151035,mobile=>,(none)=>,0,1
GA1.2.1008938907.1579637869,mobile=>,referral=>,1,1
GA1.2.1008949948.1578827457,mobile=>mobile=>,organic=>referral=>,2,2
GA1.2.1009036828.1580034307,mobile=>,referral=>,1,1
GA1.2.100921492.1580983059,mobile=>,organic=>,1,1
GA1.2.1009224486.1580582919,mobile=>,referral=>,1,1
GA1.2.100924221.1580203511,desktop=>,(none)=>,0,1
GA1.2.1009452056.1577426279,mobile=>,sem_cpc=>,1,1
GA1.2.1009486391.1580968569,desktop=>,cpc=>,1,1
GA1.2.1009583803.1578429198,tablet=>,referral=>,1,1
GA1.2.1009591809.1578266945,desktop=>,referral=>,1,1
GA1.2.1009692208.1578557032,desktop=>desktop=>desktop=>,referral=>(none)=>referral=>,2,3
GA1.2.1009735328.1578738396,mobile=>,organic=>,1,1
GA1.2.100976550.1578421645,mobile=>,organic=>,1,1
GA1.2.1009785043.1581670741,mobile=>,cpc=>,1,1
GA1.2.1009870199.1579887781,desktop=>desktop=>desktop=>desktop=>desktop=>,referral=>referral=>referral=>referral=>referral=>,5,5
GA1.2.1009884206.1579705197,tablet=>tablet=>,organic=>organic=>,2,2
GA1.2.1009950865.1578312722,mobile=>,referral=>,1,1
GA1.2.1009980633.1580278274,mobile=>mobile=>,referral=>referral=>,2,2
GA1.2.1010005605.1580760138,mobile=>,organic=>,1,1
GA1.2.1010007661.1577795159,mobile=>mobile=>mobile=>,sem_cpc=>sem_cpc=>sem_cpc=>,3,3
GA1.2.1010012296.1578031441,desktop=>desktop=>desktop=>desktop=>desktop=>desktop=>,referral=>referral=>referral=>referral=>referral=>referral=>,6,6
GA1.2.1010046312.1577853716,mobile=>,sem_cpc=>,1,1
GA1.2.1010060552.1581889234,mobile=>,organic=>,1,1
GA1.2.1010082354.1561217433,mobile=>mobile=>,organic=>organic=>,2,2
GA1.2.101008292.1581510436,mobile=>,organic=>,1,1
GA1.2.1010152682.1581870653,mobile=>,organic=>,1,1
GA1.2.101015406.1580464647,desktop=>desktop=>,organic=>organic=>,2,2
GA1.2.1010176148.1578773510,mobile=>,organic=>,1,1
GA1.2.1010243585.1579341638,mobile=>,(none)=>,0,1
GA1.2.1010309702.1576793628,mobile=>mobile=>mobile=>,sem_cpc=>sem_cpc=>sem_cpc=>,3,3
GA1.2.1010327091.1581691225,desktop=>,referral=>,1,1
GA1.2.1010468049.1578804452,desktop=>,referral=>,1,1
GA1.2.1010525456.1579550777,desktop=>,(none)=>,0,1
GA1.2.1010536882.1579008005,mobile=>mobile=>mobile=>mobile=>mobile=>mobile=>mobile=>,organic=>referral=>referral=>organic=>referral=>organic=>cpc=>,7,7
GA1.2.1010551463.1580487144,desktop=>desktop=>desktop=>desktop=>,(none)=>referral=>(none)=>referral=>,2,4
GA1.2.1010557809.1578239773,mobile=>,organic=>,1,1
GA1.2.1010570921.1574791526,mobile=>,referral=>,1,1
GA1.2.10106193.1579028764,desktop=>desktop=>,(none)=>referral=>,1,2
GA1.2.1010647716.1581832036,mobile=>mobile=>,referral=>referral=>,2,2
GA1.2.1010737133.1580826679,mobile=>,(none)=>,0,1
GA1.2.1010747636.1579422625,mobile=>,organic=>,1,1
GA1.2.1010763957.1581450559,mobile=>,organic=>,1,1
GA1.2.1010785853.1576836934,mobile=>,sem_cpc=>,1,1
GA1.2.1010789330.1577970254,desktop=>,referral=>,1,1
GA1.2.1010880817.1579696332,mobile=>mobile=>,referral=>referral=>,2,2
GA1.2.1010906776.1580290063,desktop=>,referral=>,1,1
GA1.2.1010987596.1579202762,tablet=>,organic=>,1,1
GA1.2.1011021986.1580935971,desktop=>,referral=>,1,1
GA1.2.101103386.1575639073,desktop=>,referral=>,1,1
GA1.2.1011143966.1579779102,desktop=>,organic=>,1,1
GA1.2.1011161958.1578164033,desktop=>,referral=>,1,1
GA1.2.1011173638.1580054996,desktop=>desktop=>,referral=>referral=>,2,2
GA1.2.101120982.1581514887,mobile=>,(none)=>,0,1
GA1.2.1011222411.1580139385,desktop=>,(none)=>,0,1
GA1.2.1011249711.1578753480,desktop=>,referral=>,1,1
GA1.2.101132312.1571668635,mobile=>,organic=>,1,1
GA1.2.101137489.1579571906,desktop=>,referral=>,1,1
GA1.2.1011436479.1577671909,mobile=>mobile=>mobile=>mobile=>mobile=>,sem_cpc=>sem_cpc=>sem_cpc=>sem_cpc=>sem_cpc=>,5,5
GA1.2.1011453184.1579720750,mobile=>,organic=>,1,1
GA1.2.1011467580.1581695528,mobile=>,(none)=>,0,1
GA1.2.1011479459.1577862633,mobile=>mobile=>mobile=>mobile=>,referral=>referral=>referral=>referral=>,4,4
GA1.2.101148702.1579154481,desktop=>,organic=>,1,1
GA1.2.1011512864.1580165557,desktop=>desktop=>,referral=>referral=>,2,2
GA1.2.1011537880.1578076337,mobile=>,organic=>,1,1
GA1.2.1011554797.1581488364,mobile=>,cpc=>,1,1
GA1.2.1011555340.1581697878,desktop=>,organic=>,1,1
GA1.2.1011583244.1579677262,desktop=>,referral=>,1,1
GA1.2.101160111.1580629524,mobile=>,organic=>,1,1
GA1.2.1011609155.1579883057,desktop=>,referral=>,1,1
GA1.2.1011611980.1581109212,mobile=>,organic=>,1,1
GA1.2.1011633749.1577244078,mobile=>,sem_cpc=>,1,1
GA1.2.1011778997.1580497557,tablet=>,organic=>,1,1
GA1.2.1011823426.1579170173,mobile=>,organic=>,1,1
GA1.2.1011829922.1579503737,mobile=>,cpc=>,1,1
GA1.2.1011852252.1580747775,mobile=>,organic=>,1,1
GA1.2.1011882273.1580671137,desktop=>,referral=>,1,1
GA1.2.1011930120.1580295375,mobile=>,organic=>,1,1
GA1.2.1011944239.1580844949,desktop=>desktop=>,referral=>referral=>,2,2
GA1.2.1012009667.1578549894,desktop=>,organic=>,1,1
GA1.2.1012032217.1580498730,mobile=>,(none)=>,0,1
GA1.2.1012162971.1578128979,desktop=>desktop=>,cpc=>referral=>,2,2
GA1.2.1012213104.1581340291,desktop=>desktop=>,(none)=>referral=>,1,2
GA1.2.1012213484.1580855686,mobile=>mobile=>mobile=>mobile=>,(none)=>referral=>referral=>(none)=>,2,4
GA1.2.1012219229.1579630876,desktop=>,referral=>,1,1
GA1.2.1012226979.1578893704,mobile=>mobile=>,cpc=>cpc=>,2,2
GA1.2.1012280094.1579425760,desktop=>,organic=>,1,1
GA1.2.1012390079.1580641676,desktop=>,(none)=>,0,1
GA1.2.1012391804.1581403359,desktop=>,cpc=>,1,1
GA1.2.1012480898.1560632537,mobile=>,referral=>,1,1
GA1.2.1012512445.1579247489,desktop=>,referral=>,1,1
GA1.2.1012522780.1581747127,mobile=>,cpm=>,1,1
GA1.2.1012631206.1578211218,mobile=>,referral=>,1,1
GA1.2.1012637851.1574539144,desktop=>,organic=>,1,1
GA1.2.1012658091.1579772910,desktop=>desktop=>desktop=>desktop=>,referral=>referral=>referral=>referral=>,4,4
GA1.2.1012689209.1578916936,mobile=>mobile=>,referral=>referral=>,2,2
GA1.2.1012711360.1578655669,mobile=>,organic=>,1,1
GA1.2.1012811153.1578152297,desktop=>,referral=>,1,1
GA1.2.1012863160.1576136282,mobile=>,(none)=>,0,1
GA1.2.1012959767.1578486173,mobile=>,referral=>,1,1
GA1.2.1013010496.1578294365,mobile=>,cpc=>,1,1
GA1.2.1013063424.1577659675,mobile=>,sem_cpc=>,1,1
GA1.2.1013109587.1579776017,desktop=>desktop=>,(none)=>(none)=>,0,2
GA1.2.1013155395.1580450138,mobile=>,(none)=>,0,1
GA1.2.1013163982.1579120496,mobile=>,cpm=>,1,1
GA1.2.101318745.1580679343,tablet=>,organic=>,1,1
GA1.2.1013249654.1580104142,mobile=>,sem_cpc=>,1,1
GA1.2.1013269085.1581621092,mobile=>mobile=>,organic=>organic=>,2,2
GA1.2.1013296623.1581547787,mobile=>,organic=>,1,1
GA1.2.1013395402.1573491592,desktop=>,referral=>,1,1
GA1.2.1013396179.1581766263,desktop=>,organic=>,1,1
GA1.2.1013396358.1562436685,mobile=>,referral=>,1,1
GA1.2.1013681823.1578689769,mobile=>,organic=>,1,1
GA1.2.1013688794.1580567472,mobile=>,organic=>,1,1
GA1.2.1013781570.1581328536,desktop=>desktop=>,(none)=>referral=>,1,2
GA1.2.1013791803.1569989958,mobile=>mobile=>,referral=>referral=>,2,2
GA1.2.1013821823.1553619073,mobile=>mobile=>mobile=>mobile=>mobile=>,(none)=>(none)=>(none)=>(none)=>(none)=>,0,5
GA1.2.1013922223.1580410774,desktop=>desktop=>,(none)=>referral=>,1,2
GA1.2.1013935797.1580668433,mobile=>mobile=>,organic=>organic=>,2,2
GA1.2.1013939004.1578955758,mobile=>mobile=>mobile=>,referral=>referral=>referral=>,3,3
GA1.2.1014042889.1580201991,mobile=>,cpc=>,1,1
GA1.2.1014079954.1580983789,mobile=>,(none)=>,0,1
GA1.2.1014131189.1579695388,desktop=>desktop=>,(none)=>referral=>,1,2
GA1.2.1014153377.1581060849,desktop=>,organic=>,1,1
GA1.2.101423065.1558169060,mobile=>,organic=>,1,1
GA1.2.1014240213.1580070533,mobile=>mobile=>mobile=>,organic=>organic=>organic=>,3,3
GA1.2.101425408.1570215357,mobile=>,(none)=>,0,1
GA1.2.1014267041.1580924091,mobile=>,referral=>,1,1
GA1.2.101443248.1581320692,mobile=>mobile=>mobile=>mobile=>mobile=>mobile=>,(none)=>(none)=>(none)=>cpc=>cpc=>cpc=>,3,6
GA1.2.1014441649.1579669127,mobile=>,(none)=>,0,1
GA1.2.1014476820.1577992119,desktop=>,referral=>,1,1
GA1.2.1014492783.1578852795,desktop=>,(none)=>,0,1
GA1.2.1014515447.1570731633,desktop=>,organic=>,1,1
GA1.2.1014519526.1579092391,mobile=>,referral=>,1,1
GA1.2.1014527697.1578927820,mobile=>,organic=>,1,1
GA1.2.101456387.1579535814,desktop=>desktop=>desktop=>desktop=>desktop=>desktop=>desktop=>,referral=>(none)=>referral=>referral=>(none)=>referral=>referral=>,5,7
GA1.2.1014586475.1578206684,mobile=>,cpc=>,1,1
GA1.2.1014625208.1581798188,mobile=>mobile=>,(none)=>referral=>,1,2
GA1.2.1014684648.1578409210,desktop=>desktop=>desktop=>desktop=>,organic=>referral=>organic=>referral=>,4,4
GA1.2.1014695354.1579238167,desktop=>,(none)=>,0,1
GA1.2.1014761650.1578960820,mobile=>,organic=>,1,1
GA1.2.1014828093.1580786520,desktop=>,(none)=>,0,1
GA1.2.101487262.1580831422,desktop=>desktop=>,referral=>referral=>,2,2
GA1.2.1014889452.1578764288,mobile=>,(none)=>,0,1
GA1.2.1014976369.1576752124,tablet=>,sem_cpc=>,1,1
GA1.2.1014982836.1581292451,mobile=>,organic=>,1,1
GA1.2.1015034586.1578759131,mobile=>,referral=>,1,1
GA1.2.1015035561.1580031563,mobile=>,(none)=>,0,1
GA1.2.1015069778.1552901686,mobile=>,organic=>,1,1
GA1.2.1015072580.1579079242,mobile=>,cpc=>,1,1
GA1.2.1015295135.1579978863,desktop=>desktop=>desktop=>,referral=>referral=>referral=>,3,3
GA1.2.101533947.1581781956,tablet=>,organic=>,1,1
GA1.2.1015345062.1580854751,mobile=>,organic=>,1,1
GA1.2.1015461924.1580336708,mobile=>,referral=>,1,1
GA1.2.1015502697.1578561488,desktop=>desktop=>,referral=>(none)=>,1,2
GA1.2.1015577461.1578156724,tablet=>,organic=>,1,1
GA1.2.1015747751.1577866784,desktop=>,(none)=>,0,1
GA1.2.1015801983.1579507996,mobile=>,referral=>,1,1
GA1.2.1015832681.1581361969,mobile=>,cpm=>,1,1
